"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2021","10.230","10.470","10.470","10.165","780.85K","-1.49%"
"03/16/2021","10.385","10.410","10.435","10.230","747.58K","0.19%"
"03/15/2021","10.365","10.450","10.645","10.290","1.01M","-0.34%"
"03/12/2021","10.400","10.070","10.400","10.060","1.02M","2.41%"
"03/11/2021","10.155","10.145","10.240","10.065","805.76K","1.45%"
"03/10/2021","10.010","10.010","10.140","9.930","956.93K","-0.25%"
"03/09/2021","10.035","10.050","10.100","9.870","1.15M","0.43%"
"03/08/2021","9.992","9.900","10.015","9.808","950.55K","3.14%"
"03/05/2021","9.688","9.832","9.832","9.612","1.93M","-1.60%"
"03/04/2021","9.846","10.045","10.055","9.702","1.56M","-2.51%"
"03/03/2021","10.100","10.340","10.430","9.996","1.04M","-1.22%"
"03/02/2021","10.225","10.165","10.300","10.070","920.59K","0.44%"
"03/01/2021","10.180","10.100","10.485","9.966","2.06M","5.58%"
"02/26/2021","9.642","9.794","9.912","9.642","688.07K","-3.68%"
"02/25/2021","10.010","9.890","10.070","9.860","681.70K","1.65%"
"02/24/2021","9.848","9.716","9.980","9.690","754.72K","1.09%"
"02/23/2021","9.742","9.782","9.902","9.534","646.31K","-0.23%"
"02/22/2021","9.764","9.938","9.972","9.746","467.66K","-1.75%"
"02/19/2021","9.938","9.688","9.938","9.556","613.34K","3.63%"
"02/18/2021","9.590","9.786","9.980","9.576","937.06K","-0.70%"
"02/17/2021","9.658","9.848","9.860","9.652","469.61K","-1.39%"
"02/16/2021","9.794","9.780","9.840","9.668","579.60K","0.60%"
"02/15/2021","9.736","9.550","9.768","9.522","791.99K","2.61%"
"02/12/2021","9.488","9.490","9.540","9.326","369.09K","-0.13%"
"02/11/2021","9.500","9.626","9.726","9.464","905.44K","-1.57%"
"02/10/2021","9.652","9.614","9.780","9.612","740.52K","0.90%"
"02/09/2021","9.566","9.740","9.740","9.522","840.95K","-1.65%"
"02/08/2021","9.726","9.678","9.796","9.634","434.60K","0.83%"
"02/05/2021","9.646","9.500","9.646","9.484","600.39K","1.60%"
"02/04/2021","9.494","9.562","9.624","9.432","410.61K","0.51%"
"02/03/2021","9.446","9.600","9.610","9.308","851.78K","-0.23%"
"02/02/2021","9.468","9.510","9.700","9.442","1.31M","2.14%"
"02/01/2021","9.270","9.318","9.416","9.242","375.44K","0.98%"
"01/29/2021","9.180","9.236","9.438","9.162","627.44K","-1.86%"
"01/28/2021","9.354","9.020","9.444","8.800","654.64K","2.72%"
"01/27/2021","9.106","9.316","9.328","9.002","780.90K","-2.67%"
"01/26/2021","9.356","9.146","9.450","9.146","475.85K","1.67%"
"01/25/2021","9.202","9.474","9.570","9.136","825.88K","-1.86%"
"01/22/2021","9.376","9.530","9.580","9.280","970.31K","-2.88%"
"01/21/2021","9.654","9.574","9.750","9.574","587.69K","0.92%"
"01/20/2021","9.566","9.544","9.672","9.520","424.82K","0.86%"
"01/19/2021","9.484","9.678","9.732","9.444","621.32K","-1.35%"
"01/18/2021","9.614","9.434","9.660","9.352","585.40K","2.04%"
"01/15/2021","9.422","9.784","9.784","9.350","987.04K","-4.03%"
"01/14/2021","9.818","9.840","9.914","9.788","726.71K","0.04%"
"01/13/2021","9.814","9.850","9.980","9.768","628.80K","0.35%"
"01/12/2021","9.780","9.770","9.816","9.694","408.01K","0.78%"
"01/11/2021","9.704","9.714","9.780","9.588","526.86K","-0.08%"
"01/08/2021","9.712","9.900","9.900","9.670","696.16K","-1.10%"
"01/07/2021","9.820","9.590","9.840","9.550","1.13M","2.96%"
"01/06/2021","9.538","9.334","9.546","9.304","1.14M","2.43%"
"01/05/2021","9.312","9.310","9.334","9.214","463.93K","0.19%"
"01/04/2021","9.294","9.180","9.432","9.142","708.56K","2.88%"
"12/31/2020","9.034","9.150","9.178","9.034","316.60K","-1.68%"
"12/30/2020","9.188","9.132","9.240","9.100","460.47K","0.46%"
"12/29/2020","9.146","9.144","9.266","9.080","615.82K","0.51%"
"12/28/2020","9.100","9.200","9.276","9.072","405.56K","-0.55%"
"12/24/2020","9.150","9.190","9.190","9.070","170.59K","-0.07%"
"12/23/2020","9.156","9.076","9.184","9.038","799.78K","1.04%"
"12/22/2020","9.062","8.994","9.114","8.966","424.44K","1.27%"
"12/21/2020","8.948","8.800","8.998","8.742","841.39K","-0.75%"
"12/18/2020","9.016","9.150","9.182","8.980","958.52K","-1.81%"
"12/17/2020","9.182","9.150","9.196","9.054","1.20M","0.90%"
"12/16/2020","9.100","9.090","9.160","8.996","3.40M","0.51%"
"12/15/2020","9.054","8.810","9.060","8.790","1.46M","3.43%"
"12/14/2020","8.754","8.818","8.882","8.710","501.66K","0.34%"
"12/11/2020","8.724","8.800","8.822","8.670","569.03K","-0.73%"
"12/10/2020","8.788","8.838","8.962","8.706","634.02K","-1.85%"
"12/09/2020","8.954","8.832","8.988","8.770","750.61K","2.64%"
"12/08/2020","8.724","8.846","8.846","8.644","1.00M","-1.69%"
"12/07/2020","8.874","9.020","9.062","8.828","750.85K","-1.53%"
"12/04/2020","9.012","8.632","9.012","8.614","1.49M","4.79%"
"12/03/2020","8.600","8.680","8.764","8.576","710.02K","-0.76%"
"12/02/2020","8.666","8.690","8.692","8.526","800.98K","-0.39%"
"12/01/2020","8.700","8.530","8.760","8.480","792.18K","1.92%"
"11/30/2020","8.536","8.803","8.858","8.500","1.30M","-7.92%"
"11/27/2020","9.270","9.280","9.340","9.190","943.67K","0.43%"
"11/26/2020","9.230","9.330","9.350","9.154","514.94K","-0.04%"
"11/25/2020","9.234","9.314","9.350","9.170","1.07M","-0.22%"
"11/24/2020","9.254","9.032","9.278","8.940","2.04M","3.74%"
"11/23/2020","8.920","8.894","9.054","8.786","1.87M","1.97%"
"11/20/2020","8.748","8.576","8.780","8.544","1.33M","2.63%"
"11/19/2020","8.524","8.594","8.594","8.468","895.30K","-1.30%"
"11/18/2020","8.636","8.380","8.690","8.354","1.62M","4.68%"
"11/17/2020","8.250","8.394","8.484","8.180","1.23M","-1.50%"
"11/16/2020","8.376","8.298","8.576","8.220","1.93M","3.13%"
"11/13/2020","8.122","7.960","8.172","7.952","770.25K","1.35%"
"11/12/2020","8.014","8.000","8.044","7.910","898.04K","-0.35%"
"11/11/2020","8.042","7.814","8.062","7.760","983.79K","3.10%"
"11/10/2020","7.800","7.828","7.894","7.686","1.47M","-0.64%"
"11/09/2020","7.850","7.440","7.914","7.394","1.72M","7.65%"
"11/06/2020","7.292","7.262","7.362","7.168","574.09K","0.80%"
"11/05/2020","7.234","7.084","7.288","7.064","1.75M","2.38%"
"11/04/2020","7.066","6.772","7.066","6.678","758.55K","3.30%"
"11/03/2020","6.840","6.876","7.082","6.840","898.63K","0.47%"
"11/02/2020","6.808","6.866","6.868","6.732","752.62K","0.06%"
"10/30/2020","6.804","6.678","6.814","6.600","1.12M","0.80%"
"10/29/2020","6.750","6.912","6.956","6.688","1.25M","-2.09%"
"10/28/2020","6.894","7.180","7.180","6.810","1.43M","-5.59%"
"10/27/2020","7.302","7.450","7.458","7.256","762.17K","-1.24%"
"10/26/2020","7.394","7.260","7.590","7.136","1.39M","0.71%"
"10/23/2020","7.342","7.190","7.348","7.190","1.17M","2.03%"
"10/22/2020","7.196","7.182","7.334","7.096","592.32K","0.17%"
"10/21/2020","7.184","7.298","7.316","7.114","604.85K","-1.99%"
"10/20/2020","7.330","7.168","7.354","7.132","537.28K","1.78%"
"10/19/2020","7.202","7.210","7.280","7.160","432.18K","0.59%"
"10/16/2020","7.160","7.090","7.220","7.058","476.68K","1.70%"
"10/15/2020","7.040","7.030","7.076","6.984","521.39K","-1.65%"
"10/14/2020","7.158","7.096","7.158","7.020","372.50K","1.27%"
"10/13/2020","7.068","7.210","7.228","7.068","384.99K","-2.13%"
"10/12/2020","7.222","7.350","7.350","7.222","288.59K","-0.88%"
"10/09/2020","7.286","7.300","7.382","7.282","485.92K","-0.44%"
"10/08/2020","7.318","7.342","7.388","7.256","577.01K","0.16%"
"10/07/2020","7.306","7.112","7.306","7.058","808.03K","2.70%"
"10/06/2020","7.114","6.990","7.158","6.976","1.32M","2.21%"
